[2026-09-21 15:08:47] [INFO    ] discord.client: logging in using static token
[2026-09-21 15:08:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-09-21 15:08:48] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-09-21 15:08:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1549769425983639582', 'username': '🐉 Ryzen', 'avatar': '94028a95120039406ebd791b909a1abe', 'discriminator': '5249', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-09-21 15:08:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-09-21 15:08:48] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-09-21 15:08:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1549769425983639582', 'name': '🐉 Ryzen', 'icon': '94028a95120039406ebd791b909a1abe', 'description': '🐉 just here vibing, probably doing something dumb', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'flags': 557056, 'flags_new': '557056', 'bot': {'id': '1549769425983639582', 'username': '🐉 Ryzen', 'avatar': '94028a95120039406ebd791b909a1abe', 'discriminator': '5249', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '23a39c4396f10d234ab2317a40a3966a17fe89bbdd8dbaa00b799be1f4800d64', 'embedded_surfaces': [], 'tags': ['friend', 'conversations', 'autoresponder'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1419953854157553666', 'username': 'sunray0602', 'avatar': '5679135ac0985247e86d842a8ee7ea4b', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 10467836, 'global_name': '𝖈𝖊𝖑𝖘𝖎𝖚𝖘', 'avatar_decoration_data': {'asset': 'a_09880c0438c90c615fd9a1b2439f7ee6', 'sku_id': '1545463001182642218', 'expires_at': 1796000400}, 'collectibles': {'nameplate': {'sku_id': '1447654091097509950', 'asset': 'nameplates/zodiac/virgo/', 'label': 'COLLECTIBLES_ZODIAC_VIRGO_NP_A11Y', 'palette': 'lemon'}}, 'display_name_styles': None, 'vad_colors': None, 'banner_color': '#9fb9fc', 'clan': {'identity_guild_id': '812119652960436245', 'identity_enabled': True, 'tag': 'NERD', 'badge': '5607047f21b7e25a26c195cc49871278'}, 'primary_guild': {'identity_guild_id': '812119652960436245', 'identity_enabled': True, 'tag': 'NERD', 'badge': '5607047f21b7e25a26c195cc49871278'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-09-21 15:08:49] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-09-21 15:08:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-w91j",{"micros":0.0}]']}}
[2026-09-21 15:08:49] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-09-21 15:08:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-09-21 15:08:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': '🐉 Ryzen', 'primary_guild': None, 'mfa_enabled': False, 'id': '1549769425983639582', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5249', 'clan': None, 'bot': True, 'avatar': '94028a95120039406ebd791b909a1abe'}, 'session_type': 'normal', 'session_id': 'c6573a1c5e6b15289a821030b7f7ffc8', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1538451890759798828'}, {'unavailable': True, 'id': '1549057214873083904'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'singapore', 'dubai', 'jakarta'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1549769425983639582', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-w91j",{"micros":150743,"calls":["id_created",{"micros":654,"calls":[]},"session_lookup_time",{"micros":240,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"sessions-prd-gcp-us-east1-c-95",{"micros":149517,"calls":["start_session",{"micros":102928,"calls":["prd-rpc-78cccfbc7c-sf24f",{"micros":31827,"calls":["get_user",{"micros":10133},"get_guilds",{"micros":3253},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":1390},"apex_experiments",{"micros":63277},"sessions_experiments",{"micros":5},"played_application_ids",{"micros":9},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"presence_started",{"micros":4157,"calls":[]},"guilds_started",{"micros":218,"calls":[]},"guilds_connect",{"micros":3,"calls":[]},"presence_connect",{"micros":42148,"calls":[]},"connect_finished",{"micros":42161,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-09-21 15:08:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-09-21 15:08:49] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c6573a1c5e6b15289a821030b7f7ffc8).
[2026-09-21 15:08:49] [DEBUG   ] discord.client: Dispatching event connect
